experiment_id,display_label,experiment_name,best_val_auc,best_epoch,mean_test_auc,precision,recall,f1,threshold
01,01 Baseline,densenet121_bce,0.831855,6,0.835187,0.422616,0.118124,0.170008,0.500000
02,02 CLAHE,densenet121_clahe_bce,0.832122,6,0.833851,0.419522,0.131025,0.184282,0.500000
03a,03a CBAM-b4,densenet121_clahe_cbam_block4_bce,0.830128,6,0.832345,0.446545,0.127415,0.186425,0.500000
03b,03b CBAM-b34,densenet121_clahe_cbam_block34_bce,0.831952,5,0.835863,0.404355,0.104964,0.145086,0.500000
03c,03c CBAM-b1234,densenet121_clahe_cbam_block1234_bce,0.831119,5,0.834312,0.350718,0.091228,0.134536,0.500000
04,04 ASL,densenet121_clahe_cbam_block34_asl,0.827289,6,0.830549,0.268638,0.439151,0.325038,0.500000
04b,04b ASL-gn2,densenet121_clahe_cbam_block34_asl_gn2_gp0,0.827513,5,0.834241,0.374012,0.231280,0.260414,0.500000
05,05 FAAR,densenet121_clahe_cbam_block34_asl_gn2_gp0_faar,0.828833,5,0.831226,0.379313,0.256700,0.278804,0.500000
05b,05b FAAR-cap3,densenet121_clahe_cbam_block34_asl_gn2_gp0_faar_cap3,0.828230,5,0.831095,0.361629,0.235499,0.259639,0.500000
06,06 LR1e-3,densenet121_bce_lr1e3_pat10,0.822056,25,0.824728,0.479518,0.095154,0.146234,0.500000
07,07 Adam,densenet121_cbam_block34_bce,0.834438,5,0.836129,0.442110,0.128417,0.178960,0.500000
08,08 BCE+AdamW,densenet121_cbam_block34_bce_adamw,0.833819,6,0.837103,0.448233,0.139499,0.196189,0.500000
09,09 ASL+AdamW,densenet121_cbam_block34_asl_gn2_gp0_adamw,0.832251,5,0.836955,0.386513,0.238511,0.273556,0.500000
10,10 Focal+AdamW,densenet121_cbam_block34_focal_gamma2_adamw,0.833621,5,0.835074,0.439119,0.125833,0.176862,0.500000
