disease,referenced_study_auc,exp08_official_split_auc,absolute_difference,relative_difference_percent,difficult_class
Infiltration,0.6848,0.7015,0.0167,2.44,True
Pneumonia,0.7174,0.7193,0.0019,0.26,True
Consolidation,0.7472,0.7399,-0.0073,-0.98,True
Pleural_Thickening,0.767,0.7705,0.0035,0.45,True
Nodule,0.7687,0.7441,-0.0246,-3.2,True
Atelectasis,0.7785,0.7631,-0.0154,-1.97,False
Fibrosis,0.8125,0.8171,0.0046,0.57,False
Effusion,0.8289,0.8255,-0.0034,-0.41,False
Mass,0.8313,0.8184,-0.0129,-1.55,False
Edema,0.8436,0.8509,0.0073,0.87,False
Pneumothorax,0.867,0.861,-0.006,-0.69,False
Cardiomegaly,0.8857,0.8815,-0.0042,-0.48,False
Hernia,0.8952,0.9003,0.0051,0.57,False
Emphysema,0.9066,0.8946,-0.012,-1.32,False
