disease,referenced_study_auc,exp08_official_split_auc,absolute_difference,relative_difference_percent,difficult_class
Infiltration,0.6655,0.7015,0.036,5.42,True
Pneumonia,0.7158,0.7193,0.0035,0.48,True
Consolidation,0.7447,0.7399,-0.0048,-0.65,True
Nodule,0.7582,0.7441,-0.0141,-1.86,True
Pleural_Thickening,0.767,0.7705,0.0035,0.45,True
Atelectasis,0.7729,0.7631,-0.0098,-1.26,False
Fibrosis,0.8058,0.8171,0.0113,1.41,False
Mass,0.8247,0.8184,-0.0063,-0.76,False
Effusion,0.8266,0.8255,-0.0011,-0.13,False
Edema,0.8403,0.8509,0.0106,1.27,False
Pneumothorax,0.8639,0.861,-0.0029,-0.33,False
Cardiomegaly,0.8787,0.8815,0.0028,0.32,False
Hernia,0.8911,0.9003,0.0092,1.03,False
Emphysema,0.9077,0.8946,-0.0131,-1.44,False
