disease,referenced_study_auc,exp08_auc,absolute_difference,relative_difference_percent,difficult_class
Infiltration,0.6848,0.7157,0.0309,4.51,True
Pneumonia,0.7174,0.7595,0.0421,5.87,True
Consolidation,0.7472,0.7998,0.0526,7.04,True
Pleural_Thickening,0.767,0.7959,0.0289,3.77,True
Nodule,0.7687,0.7494,-0.0193,-2.51,True
Atelectasis,0.7785,0.8169,0.0384,4.94,False
Fibrosis,0.8125,0.8102,-0.0023,-0.28,False
Effusion,0.8289,0.8877,0.0588,7.1,False
Mass,0.8313,0.8452,0.0139,1.67,False
Edema,0.8436,0.9063,0.0627,7.44,False
Pneumothorax,0.867,0.8841,0.0171,1.97,False
Cardiomegaly,0.8857,0.9026,0.0169,1.91,False
Hernia,0.8952,0.9246,0.0294,3.28,False
Emphysema,0.9066,0.9214,0.0148,1.63,False
